year,region_id,voltage_kv,path_id,status,reason,installed_capacity_mva,reported_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,complete_path_status,complete_path_reason,baseline_capacity_mva,physical_clr,policy_control_capacity_mva,policy_control_ratio
2025,QX-00009,110,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,,,,,,,,,,,,,,infeasible,no_complete_2022_2025_feasible_path,1737.0,,,
2022,QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,287.5,287.5,0.0,0.0,117.616729,0.0,2.4443801697630954,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,287.5,2.4443801697630954,287.5,2.4443801697630954
2023,QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,287.5,287.5,0.0,0.0,63.770084,0.0,4.508383586259664,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,287.5,4.508383586259664,287.5,4.508383586259664
2024,QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,287.5,287.5,0.0,0.0,83.628967,0.0,3.4378040326625103,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,287.5,3.4378040326625103,287.5,3.4378040326625103
2025,QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,287.5,287.5,613.0,61.300000000000004,79.75,0.0,3.605015673981191,0.0,0.0,12905.755582,2140.65132767766,12905.755582,2140.65132767766,feasible,complete_2022_2025_feasible_path,287.5,3.605015673981191,287.5,3.605015673981191
2022,QX-00010,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1785.0,1785.0,0.0,0.0,623.697781,0.0,2.8619630442456234,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1785.0,2.8619630442456234,1785.0,2.8619630442456234
2023,QX-00010,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1785.0,1785.0,0.0,0.0,609.974273,0.0,2.9263529283307985,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1785.0,2.9263529283307985,1785.0,2.9263529283307985
2024,QX-00010,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1785.0,1785.0,0.0,0.0,677.526871,0.0,2.634581854097415,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1785.0,2.634581854097415,1785.0,2.634581854097415
2025,QX-00010,110,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,,,,,,,,,,,,,,infeasible,no_complete_2022_2025_feasible_path,1785.0,,,
2022,QX-00001,110,PATH_OPT_CLR_LE_2,feasible,feasible,1235.0,962.80409,0.0,0.0,481.402045,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1235.0,2.5654232524084937,962.80409,2.0
2023,QX-00001,110,PATH_OPT_CLR_LE_2,feasible,feasible,1235.0,978.949504,0.0,0.0,489.474752,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1235.0,2.523112775385808,978.949504,2.0
2024,QX-00001,110,PATH_OPT_CLR_LE_2,feasible,feasible,1235.0,1034.75645,0.0,0.0,517.378225,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1235.0,2.387035132759984,1034.75645,2.0
2025,QX-00001,110,PATH_OPT_CLR_LE_2,feasible,feasible,1235.0,1089.1,138.0,13.8,544.55,0.0,2.0,0.0,0.0,2905.664006,481.95655594968076,2905.664006,481.95655594968076,feasible,complete_2022_2025_feasible_path,1235.0,2.2679276466807456,1089.1,2.0
2022,QX-00003,110,PATH_OPT_CLR_LE_2,feasible,feasible,699.5,571.378212,0.0,0.0,285.689106,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,699.5,2.4484657808407997,571.378212,2.0
