region_id,voltage_kv,station_id,pv_online_mw,pv_pipeline_mw,rated_capacity_context_mva,snapshot_min,snapshot_max,source_rows,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00004,35,BDZ-00263,21.2574,0.8479,16,2026-03-13 12:00:00,2026-05-07 12:30:00,454;455,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,35,BDZ-00265,38.5474,11.6013,40,2026-05-07 12:45:00,2026-05-07 13:30:00,446;447,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,35,BDZ-00285,19.6472,4.4284,26,2026-03-01 00:00:00,2026-04-20 12:30:00,460;461,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,35,BDZ-00309,46.3812,0.9377,36,2026-04-23 12:15:00,2026-05-07 12:30:00,448;449,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,35,BDZ-00312,7.0927,0.4216,18,2026-03-01 00:00:00,2026-05-07 12:30:00,452;453,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,110,BDZ-00001,32.9214,18.2306,100,2026-04-15 12:15:00,2026-04-16 13:15:00,432;433,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,110,BDZ-00002,7.4639,3.2644,100,2026-04-15 12:45:00,2026-05-07 12:15:00,434;435,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,110,BDZ-00008,14.1396,1.0544,100,2026-03-13 13:45:00,2026-04-30 14:30:00,414;415,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,110,BDZ-00029,19.7739,3.5814,100,2026-05-09 14:45:00,2026-05-28 14:30:00,412;413,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00004,110,BDZ-00041,36.9954,0.8891,100,2026-04-23 12:00:00,2026-04-29 13:00:00,422;423,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
