time,P,G_i,T2m,WS10m
20050120:1130,0.0,,-2.76,1.93
20050120:1230,0.0,,-4.51,1.79
20050120:1330,0.0,,-5.36,1.66
20050120:1430,0.0,,-5.53,1.52
20050120:1530,0.0,,-5.6,1.38
20050120:1630,0.0,,-5.72,1.31
20050120:1730,0.0,,-5.53,1.17
20050120:1830,0.0,,-5.52,1.1
20050120:1930,0.0,,-6.39,1.38
20050120:2030,0.0,,-6.82,1.59
20050120:2130,0.0,,-7.03,1.59
20050120:2230,0.0,,-7.16,1.59
20050120:2330,2.9,,-7.34,1.66
20050121:0030,277.0,,-6.9,1.45
20050121:0130,499.92,,-3.55,1.59
20050121:0230,649.39,,-1.11,1.86
20050121:0330,708.82,,0.85,2.21
20050121:0430,502.42,,2.29,2.55
20050121:0530,407.38,,2.89,2.41
20050121:0630,221.39,,3.12,2.14
20050121:0730,134.83,,2.77,1.66
20050121:0830,48.55,,2.39,1.86
20050121:0930,0.0,,1.38,1.66
20050121:1030,0.0,,0.37,1.66
20050121:1130,0.0,,-0.54,1.59
20050121:1230,0.0,,-1.3,1.52
20050121:1330,0.0,,-1.86,1.59
20050121:1430,0.0,,-2.1,1.66
20050121:1530,0.0,,-2.17,1.66
20050121:1630,0.0,,-2.85,1.59
20050121:1730,0.0,,-4.03,1.52
20050121:1830,0.0,,-4.62,1.52
20050121:1930,0.0,,-5.01,1.52
20050121:2030,0.0,,-5.11,1.38
20050121:2130,0.0,,-5.08,1.31
20050121:2230,0.0,,-3.94,1.03
20050121:2330,2.25,,-3.84,1.03
20050122:0030,63.67,,-3.36,0.97
20050122:0130,148.8,,-1.48,0.97
20050122:0230,240.8,,-0.39,1.03
20050122:0330,479.46,,0.94,1.38
20050122:0430,581.95,,2.29,1.93
20050122:0530,559.69,,3.01,2.28
20050122:0630,557.17,,3.32,2.21
20050122:0730,368.56,,3.67,1.79
20050122:0830,177.98,,3.31,1.72
20050122:0930,0.0,,2.29,1.52
20050122:1030,0.0,,0.32,1.38
20050122:1130,0.0,,-1.15,1.31
20050122:1230,0.0,,-1.82,1.38
20050122:1330,0.0,,-2.26,1.38
20050122:1430,0.0,,-2.03,1.24
20050122:1530,0.0,,-1.49,1.03
20050122:1630,0.0,,-1.65,0.97
20050122:1730,0.0,,-2.2,1.1
20050122:1830,0.0,,-3.44,1.24
20050122:1930,0.0,,-3.68,1.38
20050122:2030,0.0,,-3.84,1.31
20050122:2130,0.0,,-4.69,1.59
20050122:2230,0.0,,-4.48,1.38
20050122:2330,3.18,,-4.73,1.45
20050123:0030,260.6,,-4.19,1.31
20050123:0130,468.62,,-0.82,1.38
20050123:0230,582.67,,1.46,2.76
20050123:0330,615.42,,2.64,3.38
20050123:0430,537.42,,3.6,3.38
20050123:0530,282.58,,3.94,3.17
20050123:0630,188.59,,3.65,3.03
20050123:0730,138.99,,3.21,2.69
20050123:0830,36.38,,2.77,2.41
20050123:0930,0.0,,1.78,1.66
20050123:1030,0.0,,0.65,1.38
20050123:1130,0.0,,-0.09,1.31
20050123:1230,0.0,,-0.63,1.31
20050123:1330,0.0,,-0.88,1.1
20050123:1430,0.0,,-0.9,0.9
20050123:1530,0.0,,-0.39,0.07
20050123:1630,0.0,,-0.51,0.34
20050123:1730,0.0,,-0.6,0.28
20050123:1830,0.0,,-1.28,0.76
20050123:1930,0.0,,-1.51,0.9
20050123:2030,0.0,,-1.74,1.17
20050123:2130,0.0,,-1.75,1.38
20050123:2230,0.0,,-2.45,1.66
20050123:2330,2.68,,-3.05,1.86
20050124:0030,248.69,,-2.81,1.86
20050124:0130,476.76,,0.49,2.69
20050124:0230,660.36,,2.09,3.72
20050124:0330,765.13,,3.4,4.07
20050124:0430,772.11,,4.36,4.14
20050124:0530,712.17,,4.86,3.86
20050124:0630,547.52,,5.01,3.59
20050124:0730,393.69,,4.92,3.72
20050124:0830,150.58,,4.12,3.66
