time,P,G_i,T2m,WS10m
20050122:0930,0.0,,3.66,0.48
20050122:1030,0.0,,2.95,0.69
20050122:1130,0.0,,1.61,1.1
20050122:1230,0.0,,0.62,1.38
20050122:1330,0.0,,0.21,1.38
20050122:1430,0.0,,-0.13,1.52
20050122:1530,0.0,,-0.18,1.52
20050122:1630,0.0,,-0.17,1.52
20050122:1730,0.0,,-0.14,1.45
20050122:1830,0.0,,-0.15,1.24
20050122:1930,0.0,,-0.04,0.97
20050122:2030,0.0,,-0.34,1.31
20050122:2130,0.0,,-0.28,1.45
20050122:2230,0.0,,-0.24,1.52
20050122:2330,3.06,,-0.5,1.45
20050123:0030,64.43,,0.06,1.31
20050123:0130,172.32,,1.47,1.59
20050123:0230,216.14,,2.8,2.97
20050123:0330,221.4,,3.38,2.55
20050123:0430,227.3,,3.84,2.0
20050123:0530,207.94,,4.21,1.52
20050123:0630,114.01,,4.5,0.83
20050123:0730,63.9,,4.11,0.69
20050123:0830,28.88,,4.13,1.45
20050123:0930,0.0,,3.77,1.72
20050123:1030,0.0,,3.15,1.52
20050123:1130,0.0,,2.75,1.31
20050123:1230,0.0,,2.34,1.17
20050123:1330,0.0,,2.11,0.76
20050123:1430,0.0,,2.68,0.21
20050123:1530,0.0,,2.08,0.69
20050123:1630,0.0,,1.76,1.24
20050123:1730,0.0,,1.49,1.59
20050123:1830,0.0,,1.47,1.72
20050123:1930,0.0,,0.84,1.52
20050123:2030,0.0,,0.54,1.52
20050123:2130,0.0,,0.32,1.45
20050123:2230,0.0,,0.31,1.59
20050123:2330,1.95,,0.39,1.72
20050124:0030,148.75,,0.73,1.86
20050124:0130,342.14,,1.86,2.62
20050124:0230,350.48,,3.28,2.55
20050124:0330,368.83,,4.34,2.48
20050124:0430,305.18,,5.29,2.62
20050124:0530,198.02,,6.2,2.55
20050124:0630,112.22,,6.5,2.76
20050124:0730,82.28,,6.06,3.03
20050124:0830,17.97,,6.04,3.1
20050124:0930,0.0,,5.66,2.34
20050124:1030,0.0,,5.07,2.07
20050124:1130,0.0,,4.64,2.34
20050124:1230,0.0,,4.41,2.48
20050124:1330,0.0,,4.23,2.69
20050124:1430,0.0,,3.92,3.17
20050124:1530,0.0,,3.32,3.38
20050124:1630,0.0,,2.88,3.38
20050124:1730,0.0,,2.31,3.31
20050124:1830,0.0,,1.31,3.17
20050124:1930,0.0,,0.68,3.31
20050124:2030,0.0,,0.34,3.93
20050124:2130,0.0,,-0.03,3.72
20050124:2230,0.0,,-0.27,3.72
20050124:2330,0.0,,-0.57,3.59
20050125:0030,40.21,,-0.76,3.03
20050125:0130,128.27,,-0.63,3.24
20050125:0230,301.24,,-0.07,3.03
20050125:0330,489.79,,0.97,2.62
20050125:0430,591.75,,2.48,2.28
20050125:0530,710.77,,3.68,2.21
20050125:0630,527.97,,4.77,2.62
20050125:0730,292.31,,4.75,2.69
20050125:0830,145.41,,4.56,2.55
20050125:0930,0.0,,3.88,1.79
20050125:1030,0.0,,2.59,1.93
20050125:1130,0.0,,1.44,2.0
20050125:1230,0.0,,0.51,2.14
20050125:1330,0.0,,-0.1,2.21
20050125:1430,0.0,,-1.01,2.34
20050125:1530,0.0,,-1.8,2.55
20050125:1630,0.0,,-2.4,2.83
20050125:1730,0.0,,-3.05,2.62
20050125:1830,0.0,,-3.7,2.28
20050125:1930,0.0,,-4.05,2.28
20050125:2030,0.0,,-4.46,2.07
20050125:2130,0.0,,-4.8,2.0
20050125:2230,0.0,,-5.03,2.14
20050125:2330,62.53,,-5.17,2.21
20050126:0030,292.2,,-4.67,2.14
20050126:0130,509.25,,-2.65,2.55
20050126:0230,669.82,,-0.54,2.28
20050126:0330,698.7,,1.24,2.0
20050126:0430,629.52,,2.6,2.0
20050126:0530,509.77,,3.46,2.28
20050126:0630,149.79,,3.95,2.48
20050126:0730,66.24,,3.3,1.45
20050126:0830,28.06,,3.11,1.52
20050126:0930,0.0,,2.77,1.59
20050126:1030,0.0,,2.03,1.45
20050126:1130,0.0,,1.53,1.31
20050126:1230,0.0,,1.12,1.17
20050126:1330,0.0,,0.76,1.38
20050126:1430,0.0,,0.54,1.38
20050126:1530,0.0,,0.43,1.31
20050126:1630,0.0,,0.37,1.38
20050126:1730,0.0,,0.05,1.45
20050126:1830,0.0,,0.08,1.31
20050126:1930,0.0,,-0.19,1.1
20050126:2030,0.0,,-0.48,1.1
20050126:2130,0.0,,-0.39,1.1
20050126:2230,0.0,,-0.41,1.1
20050126:2330,9.99,,-0.39,1.1
20050127:0030,244.18,,-0.29,1.17
20050127:0130,477.67,,0.95,1.31
20050127:0230,641.74,,2.73,1.45
20050127:0330,729.48,,4.23,1.24
20050127:0430,737.92,,5.4,0.97
20050127:0530,718.26,,6.31,0.97
20050127:0630,551.98,,6.89,1.03
20050127:0730,359.08,,6.67,0.76
20050127:0830,161.19,,6.52,0.83
20050127:0930,1.32,,5.98,0.76
20050127:1030,0.0,,4.99,0.97
20050127:1130,0.0,,3.14,1.17
20050127:1230,0.0,,1.77,1.52
20050127:1330,0.0,,1.01,1.79
20050127:1430,0.0,,0.58,1.72
20050127:1530,0.0,,0.03,1.72
20050127:1630,0.0,,-0.3,1.59
20050127:1730,0.0,,-0.55,1.59
20050127:1830,0.0,,-1.02,1.66
20050127:1930,0.0,,-1.37,1.59
20050127:2030,0.0,,-1.74,1.66
20050127:2130,0.0,,-2.28,1.72
20050127:2230,0.0,,-2.77,1.86
20050127:2330,54.41,,-2.97,2.0
20050128:0030,234.14,,-2.03,1.72
20050128:0130,415.6,,1.72,1.86
20050128:0230,493.41,,3.97,2.55
20050128:0330,393.72,,5.55,4.14
20050128:0430,381.29,,6.11,4.07
20050128:0530,386.96,,6.75,3.86
20050128:0630,195.96,,7.17,3.66
20050128:0730,128.69,,6.77,3.72
20050128:0830,51.09,,6.66,3.79
20050128:0930,0.76,,6.38,3.24
20050128:1030,0.0,,5.78,2.55
20050128:1130,0.0,,5.35,2.07
20050128:1230,0.0,,4.97,1.86
20050128:1330,0.0,,4.53,1.66
20050128:1430,0.0,,4.07,1.52
20050128:1530,0.0,,3.5,1.52
20050128:1630,0.0,,2.88,1.17
20050128:1730,0.0,,2.45,1.45
20050128:1830,0.0,,2.64,1.38
20050128:1930,0.0,,2.56,1.86
20050128:2030,0.0,,2.82,2.0
20050128:2130,0.0,,3.01,2.69
20050128:2230,0.0,,3.18,4.07
20050128:2330,8.98,,2.76,4.69
20050129:0030,148.37,,2.05,4.76
20050129:0130,358.19,,1.64,4.97
20050129:0230,629.0,,1.99,5.1
20050129:0330,735.29,,2.91,4.83
20050129:0430,790.4,,3.93,4.76
