region_id,voltage_kv,station_id,capacity_mva,transformer_count,asset_scope_id,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00005,110,BDZ-00135,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00141,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00146,80,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00147,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00162,40,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00164,63,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00172,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,35,BDZ-00270,0,0,year_end_2025,SRC01:变电站1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,retain station index absent from SRC02 with zero in-service transformer capacity,real_2021_2025,no_in_service_transformer_candidate_station,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,35,BDZ-00271,36,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00004,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00012,126,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00013,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00023,160,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00024,143,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00036,80,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00042,160,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00051,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00053,126,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00062,126,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00065,160,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00074,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00076,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00085,126,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00092,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00094,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00102,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00103,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00106,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00110,200,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00114,176,3,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00115,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00137,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00139,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00142,0,0,year_end_2025,SRC01:变电站1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,retain station index absent from SRC02 with zero in-service transformer capacity,real_2021_2025,no_in_service_transformer_candidate_station,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00148,160,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00151,143,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00154,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00155,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00156,126,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,BDZ-00175,150,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,35,BDZ-00257,16.3,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,35,BDZ-00269,40,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,35,BDZ-00292,20,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,35,BDZ-00293,40,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,35,BDZ-00301,28,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,35,BDZ-00320,20,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
